,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,William Saliba,fr FRA,DF,22-213,9.0,9,810.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,42.0,1.0,0.0,0.11,0.11,0.0,0.11,0.0,0.01,0.01,0.0,0.01,Matches,arsenal,
1,Ben White,eng ENG,DF,26-015,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,15.0,47.0,41.0,0.11,0.0,0.11,0.11,0.11,0.05,0.1,0.14,0.05,0.14,Matches,arsenal,
2,Martin Ødegaard,no NOR,MF,24-310,9.0,9,787.0,8.7,3.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,2.6,1.0,0.7,1.7,22.0,46.0,51.0,0.34,0.11,0.46,0.11,0.23,0.29,0.08,0.38,0.11,0.2,Matches,arsenal,
3,Declan Rice,eng ENG,MF,24-282,9.0,9,754.0,8.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,13.0,52.0,15.0,0.24,0.0,0.24,0.24,0.24,0.09,0.1,0.19,0.09,0.19,Matches,arsenal,
4,Bukayo Saka,eng ENG,FW,22-048,8.0,8,702.0,7.8,4.0,3.0,7.0,2.0,2.0,2.0,1.0,0.0,4.1,2.5,2.1,4.5,40.0,28.0,104.0,0.51,0.38,0.9,0.26,0.64,0.52,0.26,0.78,0.32,0.58,Matches,arsenal,
5,Eddie Nketiah,eng ENG,FW,24-146,9.0,7,591.0,6.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,0.2,2.1,11.0,9.0,33.0,0.3,0.0,0.3,0.3,0.3,0.29,0.03,0.32,0.29,0.32,Matches,arsenal,
6,Gabriel Dos Santos,br BRA,DF,25-308,8.0,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,arsenal,
7,Gabriel Martinelli,br BRA,FW,22-127,7.0,6,478.0,5.3,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,23.0,18.0,72.0,0.19,0.38,0.56,0.19,0.56,0.15,0.11,0.26,0.15,0.26,Matches,arsenal,
8,Oleksandr Zinchenko,ua UKR,DF,26-312,8.0,6,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,11.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.05,0.12,Matches,arsenal,
